,company_name,company_js_url,company_rating,five_star_rating,four_star_rating,three_star_rating,two_star_rating,one_star_rating,salary_rate,recommendation_rate,company_address,company_website,company_employee_num,company_benefit,company_dress_code,company_language,company_work_hours
1913,Spotlight Stores Sdn Bhd,https://www.jobstreet.com.my/en/companies/466561-spotlight-stores,4.1212,19,3,9,0,2,87%,75%,Spotlight The Mines Mines Wellness City Seri Kembangan Selangor Malaysia,spotlight.com.my,More than 5000 Employees,"Medical, Travel Allowance",Casual (e.g. T-shirts),English,"Regular hours, Mondays - Fridays"
1914,MOVENT SIGNATURE DESIGN SDN. BHD.,https://www.jobstreet.com.my/en/companies/812445-movent-signature-design,2.2188,5,4,2,3,18,62%,34%,"Movent (Kuala Lumpur), Persiaran Hampshire, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",themovent.com,1 - 50 Employees,"Medical , 14 days Annual Leave, Outstanding Performance Bonus",Smart Casual (Presentable),Mandarin/Cantonese & English,"Monday to Friday, 0930-1830 & Alternate Saturday, 0930-1330"
1915,Renaissance Johor Bahru Hotel,https://www.jobstreet.com.my/en/companies/461425-renaissance-johor-bahru-hotel,4.2813,18,9,3,0,2,84%,84%,"2 Jalan Permas 11, Taman Permas Jaya, 81750 Masai, Johor, Malaysia",careers.marriott.com,201 - 500 Employees,"Medical, Miscellaneous allowance, Uniforms, Duty Meals, Associate Discounts",Business (e.g. Shirts),English,Saturdays/Shift required
1916,Aviatron (M) Sdn. Bhd.,https://www.jobstreet.com.my/en/companies/458828-aviatron-m,4.0,13,13,2,1,3,84%,75%,"Plot 309, Jalan Perindustrian Bukit Minyak 18, Penang Science Park, 14100, Penang, Malaysia",No Info,201 - 500 Employees,"Medical, Education support, Dental, Parking, Transport Allowance",Casual (e.g. T-shirts),English,Mon - Fri (8 am to 5.18 pm)
1917,Frost & Sullivan Asia Pacific,https://www.jobstreet.com.my/en/companies/440245-frost-n-sullivan-asia-pacific,3.5313,12,6,6,3,5,84%,56%,No Info,careers.frost.com,201 - 500 Employees,"Medical, Miscellaneous allowance, Dental, Parking, Subject to terms & conditions of the position offered.",Casual (e.g. T-shirts),English,"Flexi hour, Monday-Fridays"
1918,Le Meridien Kota Kinabalu,https://www.jobstreet.com.my/en/companies/453050-le-meridien-kota-kinabalu,4.5313,20,10,1,1,0,78%,90%,"Jalan Tun Fuad Stephens, Sinsuran, 88000 Kota Kinabalu, Sabah",lemeridienkotakinabalu.com,201 - 500 Employees,"Medical, Dental, Sports (e.g. Gym), Parking",Business (e.g. Shirts),English,Saturdays/Shift required
1919,Hard Rock Hotel Penang,https://www.jobstreet.com.my/en/companies/439518-hard-rock-hotel-penang,4.375,20,5,6,1,0,90%,81%,"Jalan Batu Ferringghi, 11100 Ayer Itam, Penang, Malaysia",hardrockhotels.com,201 - 500 Employees,"Medical, Dental, Parking, Duty Meal",Uniform,English,Saturdays/Shift required
1920,SAKAE SUSHI,https://www.jobstreet.com.my/en/companies/448107-sakae-sushi,3.5625,10,11,2,5,4,81%,53%,"1-10, LakeVille Lifestyle Shoplot, Jalan Sibu, Off Jalan Kuching, Taman Wahyu, 68100 KL.",sakaesushi.com.my,51 - 200 Employees,"Medical, Miscellaneous allowance, Education support, Staff discount & staff point",Business (e.g. Shirts),English,"Regular hours, Mondays - Fridays"
1921,Inox Engineering Sdn Bhd,https://www.jobstreet.com.my/en/companies/449741-inox-engineering,3.7188,18,2,3,3,6,81%,59%,"Jalan Anggerik Mokara 31/50, Kawasan Industri Kota Kemuning, 40460 Shah Alam, Selangor, Malaysia",inoxengineering.com.my,51 - 200 Employees,"Medical, Miscellaneous allowance, Bonus, Additional Insurance coverage and Hospitalisation coverage",Uniform & Modern Casual,"English, BM & Mandarin","Regular hours, Mondays - Fridays"
1922,Clinical Research Malaysia,https://www.jobstreet.com.my/en/companies/445406-clinical-research-malaysia,4.25,15,13,1,3,0,100%,87%,"D-26-06, Menara Suezcap 1, KL Gateway, No. 2 Jalan Kerinchi, Gerbang Kerinchi Lestari, 59200 Kuala Lumpur, Malaysia.",clinicalresearch.my,51 - 200 Employees,"Medical, Miscellaneous allowance, Education support, Loans, Dental",Formal (e.g. Shirts + Ties),English,"Regular hours, Mondays - Fridays"
